Cow,Treat,Birth,AgeDay,AgeYear,Parity ,IA,DryPeriod,DIM,DIM305,TotMilk,Calving,CalvingTime,ColWeight,Brix,IcaCalve,IcaMilk,Breed,Sex,CalfWeight ,Calving difficulty,Fat,Protein,Lactose,SNF,SCC,MUN,MonoUnsaturatedFA,PolyUnsaturatedFA,SaturatedFA,TotalUnsaturatedFA,SCFA,MCFA,LCFA,Trans FA,Aceton,BHB,C14,C16,C18,C18.1,DSCC,DeNovoFa,MixeFA,PreformFa
8846,X-Zelit,3/9/2017,1113,3.049315068,2,6/20/2019,57,335,21840,25740,43916,9:45:00 AM,7.3,24.6,1.09,1.1,Hostein,M,40.82328,1,3.33,15.45,2.52,20.38,5390,40.9,0.199,0.33,3.688,0,0.041,4.111,0,0.192,0,0,1.067,1.757,0.206,0,2.16,2.198,0,.
8415,Control,12/27/2015,1551,4.249315068,3,6/20/2019,56,341,31040,30910,43916,11:35:00 AM,7.7,26.9,0.84,0.75,Hostein,F,38.101728,1,4.53,17.09,2.82,22.19,5876,26.8,0.521,0.345,4.489,0,0.052,4.808,0,0.202,0,0,1.332,1.862,0.149,0,2.332,1.93,0,.
8493,Control,3/22/2016,1467,4.019178082,3,6/27/2019,45,383,32520,34310,43918,3:00:00 PM,4.3,28.1,1.1,0.87,Angus,F,38.101728,1,2.87,18.41,2.11,23.17,5040,35.2,0,0.43,3.869,0,0,4.841,0,0.305,0,0,1.462,1.761,0.049,0,2.53,1.586,0,.
8062,X-Zelit,12/13/2014,1933,5.295890411,4,6/20/2019,59,341,30350,33480,43919,11:30:00 AM,0.5,31.2,1.16,1.1,Hostein,M,44.905608,1,3.9,18.41,1.94,22.93,5877,41.1,0.257,0.551,4.648,0,0.013,4.943,0,0.359,0,0,1.549,2.416,0.293,0,3.11,1.775,0,.
8465,Control,2/25/2016,1496,4.098630137,3,6/20/2019,61,391,39100,40030,43921,4:00:00 PM,58.9,20.3,0.89,0.93,XB,M,51.255896,1,6.45,12.31,2.87,17.14,864,28.1,1.438,0.326,5.08,1.05,0.235,4.922,1.279,0.148,0,0,1.174,2.294,0.521,0.91,2.277,2.958,0.483,.
7384,X-Zelit,11/22/2012,2688,7.364383562,6,6/13/2019,73,349,36500,39140,43923,7:00:00 AM,8.5,29.2,0.83,0.84,XB,F,41.730464,1,4.08,17.98,2.04,22.71,5853,50.5,0.499,0.572,4.468,0,0,4.938,0,0.331,0,0,1.521,2.276,0.371,0,2.937,2.065,0,.
8511,X-Zelit,4/6/2016,1459,3.997260274,3,7/4/2019,54,347,29550,28380,43925,7:00:00 AM,15.85,22.1,1.22,1.22,Hostein,F,43.998424,1,2.13,12.6,2.49,17.38,1120,37.7,0.392,0.334,2.163,0,0.136,1.956,0,0.152,0,0,0.596,0.955,0.273,0,1.755,2.144,0,.
8455,DCAD,2/11/2016,1514,4.147945205,3,6/27/2019,58,306,32020,29450,43925,7:30:00 AM,11,25.2,1.13,0.98,Hostein,M,46.719976,1,1.64,15.87,1.79,20.12,4219,50.2,0,0.521,2.919,0,0.002,3.201,0,0.275,0,0,1.112,1.477,0.176,0,2.505,2.354,0,.
8222,Control,6/9/2015,1763,4.830136986,4,7/4/2019,63,295,31880,29610,43927,7:00:00 AM,7.4,34.4,0.88,0.86,Hostein,F,46.719976,1,2.14,18.31,1.6,22.58,551,51.5,0,0.584,3.754,0,0,4.067,0,0.36,0,0,1.396,2.054,0.258,0,3.13,2.076,0,.
7718,X-Zelit,11/24/2013,2326,6.37260274,5,6/27/2019,57,357,36670,39970,43928,6:45:00 AM,16.1,31.3,1.08,1.05,Hostein,M,44.452016,1,3.03,22.43,1.39,26.84,1663,63.7,0,0.775,4.854,0,0,5.634,0,0.444,0,0,1.855,2.811,0.361,0,3.784,1.779,0,.
